Brand,Model,Year,Engine_Size,Fuel_Type,Transmission,Mileage,Doors,Owner_Count,Price,Pollution,CO2_Emissions
Ford,Fiesta,2017,2.2,Hybrid,Manual,277363,2,4,6852,Medium,92
Audi,A4,2004,1.0,Petrol,Manual,94415,2,1,4411,High,140
Ford,Focus,2004,1.2,Electric,Manual,93645,3,3,6627,Low,0
BMW,5 Series,2007,4.9,Petrol,Manual,120491,2,1,8690,High,218
Honda,Civic,2000,3.9,Hybrid,Manual,56020,2,4,7879,Medium,109
Toyota,RAV4,2003,3.9,Electric,Automatic,131868,5,3,9762,Low,0
Audi,Q5,2023,3.6,Electric,Manual,238306,5,2,11833,Low,0
Ford,Focus,2011,2.3,Diesel,Automatic,255372,5,5,6092,High,145
Audi,A4,2009,2.4,Diesel,Manual,263797,2,5,3924,High,146
Hyundai,Elantra,2006,2.8,Electric,Manual,110280,3,3,8494,Low,0
Audi,A3,2009,1.2,Electric,Automatic,111448,5,1,9271,Low,0
Mercedes,GLA,2013,1.9,Petrol,Manual,205005,2,2,5799,High,158
Mercedes,E-Class,2004,4.9,Petrol,Semi-Automatic,175273,3,5,6694,High,218
Mercedes,GLA,2022,3.8,Diesel,Manual,191466,3,2,10670,High,167
Ford,Focus,2008,1.8,Electric,Semi-Automatic,280713,3,1,4685,Low,0
Honda,Civic,2015,2.6,Electric,Semi-Automatic,66777,5,1,11864,Low,0
Kia,Optima,2020,3.2,Electric,Manual,88070,3,5,13538,Low,0
BMW,3 Series,2011,2.9,Electric,Semi-Automatic,281020,3,5,6679,Low,0
Chevrolet,Impala,2017,1.8,Diesel,Semi-Automatic,22175,2,2,10556,High,137
Volkswagen,Passat,2003,2.0,Electric,Manual,287728,3,3,3245,Low,0
Hyundai,Sonata,2007,3.6,Electric,Automatic,102907,3,3,11241,Low,0
Honda,Civic,2005,2.4,Petrol,Automatic,60316,2,5,8293,High,168
Toyota,Camry,2008,1.3,Petrol,Automatic,188097,2,2,5538,High,146
Ford,Fiesta,2004,4.0,Diesel,Automatic,85348,3,3,9093,High,170
Ford,Focus,2015,4.8,Electric,Automatic,100603,4,2,14887,Low,0
Mercedes,C-Class,2007,2.7,Hybrid,Manual,147310,5,2,6953,Medium,97
Mercedes,GLA,2011,4.0,Diesel,Manual,140263,4,5,8594,High,170
Volkswagen,Passat,2005,3.2,Electric,Semi-Automatic,155550,5,4,7689,Low,0
Volkswagen,Golf,2000,4.0,Hybrid,Manual,237232,4,5,4355,Medium,110
Ford,Fiesta,2002,4.0,Hybrid,Semi-Automatic,272351,3,3,4252,Medium,110
Kia,Optima,2008,4.6,Petrol,Manual,164879,2,4,7802,High,212
Hyundai,Tucson,2018,2.8,Petrol,Manual,160349,4,3,9093,High,176
Hyundai,Elantra,2007,1.5,Diesel,Manual,30793,5,1,7084,High,133
BMW,3 Series,2019,1.9,Electric,Automatic,6745,2,1,15065,Low,0
Toyota,Camry,2007,4.9,Hybrid,Manual,23217,2,4,11635,Medium,119
Kia,Sportage,2017,2.7,Hybrid,Automatic,242456,2,5,9550,Medium,97
Hyundai,Sonata,2017,1.3,Hybrid,Automatic,152123,5,5,9957,Medium,83
Honda,CR-V,2022,3.4,Diesel,Automatic,248894,5,2,10622,High,161
Mercedes,GLA,2007,2.3,Electric,Manual,76458,3,5,8970,Low,0
BMW,X5,2017,3.9,Hybrid,Semi-Automatic,2020,3,2,14059,Medium,109
Hyundai,Sonata,2018,2.0,Hybrid,Automatic,121567,4,4,11568,Medium,90
Volkswagen,Golf,2023,3.5,Petrol,Semi-Automatic,139477,2,5,11710,High,190
Ford,Fiesta,2007,4.5,Electric,Manual,53088,3,2,11638,Low,0
Volkswagen,Tiguan,2020,1.7,Petrol,Automatic,195565,2,5,9388,High,154
Audi,A4,2004,4.8,Hybrid,Semi-Automatic,141850,3,2,8263,Medium,118
Honda,Civic,2020,4.6,Petrol,Manual,191397,3,4,10872,High,212
Hyundai,Tucson,2015,1.6,Electric,Manual,259533,2,4,7009,Low,0
Mercedes,C-Class,2015,4.1,Petrol,Automatic,197249,3,1,10255,High,202
Volkswagen,Passat,2007,3.8,Electric,Manual,272609,4,5,6547,Low,0
Ford,Focus,2013,1.1,Diesel,Manual,294516,4,1,3209,High,127
Kia,Sportage,2001,2.9,Diesel,Manual,258813,4,5,2123,High,154
Toyota,Corolla,2014,4.1,Petrol,Automatic,17100,5,5,13558,High,202
Kia,Optima,2017,4.6,Diesel,Manual,197307,3,1,9853,High,179
BMW,X5,2007,4.2,Petrol,Automatic,129851,3,4,9302,High,204
Mercedes,E-Class,2011,1.8,Diesel,Semi-Automatic,261247,3,4,3975,High,137
Audi,Q5,2016,2.5,Electric,Semi-Automatic,121855,5,5,10962,Low,0
BMW,3 Series,2011,2.6,Petrol,Manual,107928,4,2,7841,High,172
Volkswagen,Passat,2011,4.7,Petrol,Automatic,203960,5,3,9520,High,214
BMW,5 Series,2009,3.0,Electric,Manual,17260,5,5,11454,Low,0
Audi,A3,2022,3.8,Electric,Semi-Automatic,275109,2,5,10997,Low,0
Toyota,Corolla,2016,2.8,Hybrid,Semi-Automatic,203314,3,3,8633,Medium,98
Toyota,Corolla,2014,2.8,Hybrid,Automatic,190214,5,2,9795,Medium,98
Ford,Explorer,2013,5.0,Electric,Automatic,188195,5,3,12736,Low,0
Audi,A4,2010,2.0,Hybrid,Manual,228204,3,4,5535,Medium,90
BMW,5 Series,2001,2.3,Diesel,Semi-Automatic,66264,2,1,5374,High,145
Toyota,Camry,2022,4.5,Electric,Semi-Automatic,162696,4,2,13946,Low,0
Chevrolet,Malibu,2005,2.2,Diesel,Manual,191462,2,4,3970,High,143
Honda,Accord,2001,4.0,Diesel,Manual,8958,5,1,8220,High,170
Hyundai,Elantra,2012,2.6,Hybrid,Manual,11213,5,5,11075,Medium,96
Honda,Accord,2003,3.8,Electric,Semi-Automatic,236022,3,2,6079,Low,0
Chevrolet,Equinox,2019,3.9,Hybrid,Semi-Automatic,13333,5,1,14433,Medium,109
Mercedes,C-Class,2023,4.6,Electric,Semi-Automatic,274137,2,3,12117,Low,0
Volkswagen,Passat,2010,3.4,Diesel,Manual,8662,4,3,10326,High,161
BMW,3 Series,2018,2.3,Electric,Semi-Automatic,99243,3,3,11815,Low,0
Ford,Fiesta,2013,3.5,Hybrid,Semi-Automatic,167809,2,3,9143,Medium,105
Honda,CR-V,2018,3.0,Hybrid,Semi-Automatic,180938,4,3,9881,Medium,100
Mercedes,C-Class,2018,4.0,Petrol,Manual,66347,3,2,12173,High,200
Honda,Civic,2007,1.4,Petrol,Manual,279031,5,3,2019,High,148
Chevrolet,Equinox,2013,2.8,Petrol,Manual,63430,4,5,9531,High,176
BMW,3 Series,2014,2.1,Petrol,Manual,191744,5,1,6565,High,162
Mercedes,E-Class,2023,3.9,Hybrid,Semi-Automatic,58107,3,2,14737,Medium,109
BMW,X5,2002,4.5,Diesel,Manual,86763,2,5,7464,High,178
Volkswagen,Golf,2020,3.8,Diesel,Automatic,257521,3,3,10249,High,167
Toyota,Corolla,2013,4.0,Diesel,Manual,213052,4,4,7738,High,170
BMW,3 Series,2017,1.9,Petrol,Semi-Automatic,117943,2,4,8741,High,158
Volkswagen,Tiguan,2008,4.5,Electric,Semi-Automatic,178837,3,4,9423,Low,0
Toyota,Corolla,2002,3.9,Diesel,Semi-Automatic,281616,2,3,2967,High,169
Chevrolet,Malibu,2013,1.4,Diesel,Automatic,131485,3,5,8270,High,131
Audi,A4,2013,3.9,Electric,Manual,21399,5,3,13472,Low,0
Mercedes,C-Class,2020,3.7,Petrol,Semi-Automatic,148489,3,5,10830,High,194
Chevrolet,Equinox,2017,3.1,Electric,Manual,189399,5,4,10512,Low,0
Volkswagen,Tiguan,2008,3.5,Petrol,Semi-Automatic,179107,2,3,6417,High,190
Volkswagen,Passat,2015,4.7,Diesel,Manual,220366,5,1,8892,High,181
Kia,Optima,2020,4.7,Petrol,Manual,132200,2,1,12156,High,214
Chevrolet,Impala,2009,1.8,Diesel,Automatic,151249,4,1,7075,High,137
Chevrolet,Impala,2009,2.0,Petrol,Manual,184695,5,1,5106,High,160
Volkswagen,Golf,2001,4.1,Petrol,Automatic,32602,3,4,9347,High,202
Audi,A3,2013,3.2,Electric,Manual,253611,2,4,8127,Low,0
Toyota,RAV4,2020,4.3,Hybrid,Manual,187223,5,3,11655,Medium,113
Mercedes,E-Class,2004,3.0,Hybrid,Manual,232438,3,3,4651,Medium,100
Toyota,Camry,2019,4.7,Petrol,Manual,114139,5,4,12217,High,214
Toyota,RAV4,2004,1.3,Electric,Automatic,79437,4,4,8511,Low,0
Honda,Accord,2019,2.2,Diesel,Manual,127801,5,5,9443,High,143
Toyota,Camry,2002,1.5,Petrol,Automatic,23115,2,1,7237,High,150
Kia,Optima,2010,3.9,Petrol,Automatic,26930,3,3,11961,High,198
Toyota,RAV4,2021,2.1,Petrol,Manual,289967,4,3,6700,High,162
Ford,Focus,2001,3.2,Petrol,Manual,42064,2,3,6758,High,184
Hyundai,Sonata,2018,3.5,Electric,Manual,233614,4,2,10327,Low,0
Ford,Explorer,2023,4.1,Electric,Automatic,67072,4,3,17258,Low,0
BMW,X5,2017,2.5,Electric,Manual,256380,2,1,8572,Low,0
Mercedes,C-Class,2010,1.9,Petrol,Semi-Automatic,159546,2,4,5809,High,158
Mercedes,E-Class,2014,3.8,Electric,Semi-Automatic,5877,5,5,13982,Low,0
Hyundai,Tucson,2002,4.9,Hybrid,Automatic,33244,2,2,11435,Medium,119
Chevrolet,Impala,2013,4.8,Petrol,Manual,206381,4,4,8672,High,216
Honda,Civic,2016,4.0,Diesel,Automatic,175833,3,5,10883,High,170
Hyundai,Tucson,2005,3.6,Petrol,Semi-Automatic,157073,2,1,6058,High,192
BMW,3 Series,2015,2.9,Electric,Automatic,131766,2,3,12364,Low,0
Ford,Explorer,2001,2.2,Petrol,Manual,18630,3,5,6227,High,164
Audi,A4,2015,2.1,Diesel,Automatic,54522,3,5,11109,High,142
Mercedes,GLA,2013,1.4,Electric,Semi-Automatic,231290,3,3,6774,Low,0
Kia,Optima,2000,3.7,Electric,Manual,166776,2,2,6464,Low,0
Audi,A3,2002,4.0,Diesel,Manual,16302,5,2,8373,High,170
Audi,Q5,2015,2.9,Hybrid,Semi-Automatic,252824,3,1,7443,Medium,99
Kia,Sportage,2007,1.2,Hybrid,Automatic,269614,3,4,4507,Medium,82
Kia,Sportage,2000,2.8,Electric,Semi-Automatic,264697,2,5,3606,Low,0
Honda,CR-V,2014,4.0,Petrol,Manual,287926,5,2,6541,High,200
Audi,A3,2001,1.8,Petrol,Automatic,43196,5,2,6836,High,156
Toyota,RAV4,2001,4.5,Diesel,Semi-Automatic,279971,3,1,3300,High,178
Hyundai,Sonata,2009,1.0,Petrol,Manual,286745,2,5,2065,High,140
Mercedes,C-Class,2011,2.3,Electric,Semi-Automatic,885,3,2,11682,Low,0
Honda,Civic,2013,3.5,Hybrid,Semi-Automatic,93273,2,4,10634,Medium,105
BMW,X5,2004,3.7,Diesel,Semi-Automatic,110947,3,2,6781,High,166
Honda,CR-V,2018,1.2,Petrol,Manual,166808,5,2,7363,High,144
Audi,Q5,2022,3.8,Diesel,Automatic,186035,4,3,12279,High,167
Ford,Fiesta,2005,1.0,Hybrid,Semi-Automatic,68819,2,3,6223,Medium,80
Chevrolet,Impala,2018,3.7,Petrol,Semi-Automatic,157181,5,2,10056,High,194
Mercedes,C-Class,2007,3.9,Petrol,Semi-Automatic,97350,3,3,8153,High,198
Volkswagen,Passat,2016,3.5,Diesel,Manual,271497,5,4,6970,High,163
Toyota,RAV4,2013,4.3,Electric,Semi-Automatic,225452,4,5,9790,Low,0
Kia,Optima,2010,3.8,Petrol,Automatic,51040,5,2,11379,High,196
Volkswagen,Golf,2012,4.2,Electric,Semi-Automatic,7544,2,5,13749,Low,0
Chevrolet,Equinox,2009,2.6,Hybrid,Semi-Automatic,264411,3,1,5111,Medium,96
BMW,X5,2012,4.3,Petrol,Manual,153919,5,2,8921,High,206
Honda,CR-V,2010,1.7,Petrol,Manual,115344,2,5,6493,High,154
Kia,Rio,2009,2.9,Diesel,Semi-Automatic,106781,3,2,7564,High,154
Hyundai,Sonata,2011,1.0,Petrol,Manual,279545,2,3,2809,High,140
Hyundai,Sonata,2020,1.7,Petrol,Manual,11757,3,1,11564,High,154
Audi,Q5,2014,2.4,Petrol,Semi-Automatic,230787,3,1,6084,High,168
Hyundai,Elantra,2020,3.7,Hybrid,Automatic,216478,2,1,11970,Medium,107
Mercedes,C-Class,2003,2.6,Diesel,Semi-Automatic,134567,5,2,4908,High,149
Mercedes,C-Class,2006,4.5,Electric,Manual,162852,2,3,9142,Low,0
BMW,3 Series,2023,3.9,Hybrid,Semi-Automatic,112480,2,2,13650,Medium,109
Kia,Optima,2017,1.9,Electric,Automatic,60780,2,1,13384,Low,0
Honda,CR-V,2012,3.2,Diesel,Automatic,21520,4,4,11969,High,158
BMW,5 Series,2017,2.1,Diesel,Automatic,199006,3,3,8819,High,142
Chevrolet,Equinox,2006,2.0,Hybrid,Automatic,11585,5,4,10168,Medium,90
Chevrolet,Equinox,2009,2.8,Electric,Manual,79962,3,2,10000,Low,0
Volkswagen,Golf,2014,3.9,Electric,Automatic,95537,4,2,13789,Low,0
Mercedes,GLA,2021,4.3,Diesel,Manual,229873,4,2,10102,High,175
Toyota,RAV4,2006,1.3,Hybrid,Manual,195129,4,5,4297,Medium,83
Chevrolet,Impala,2011,4.0,Hybrid,Automatic,136926,5,1,11161,Medium,110
Ford,Focus,2003,3.2,Petrol,Semi-Automatic,85005,3,1,6499,High,184
Audi,A4,2017,2.7,Electric,Automatic,172248,3,2,11955,Low,0
Volkswagen,Golf,2017,4.3,Petrol,Automatic,179528,2,5,11409,High,206
Hyundai,Sonata,2014,2.3,Electric,Manual,1752,4,2,12564,Low,0
Mercedes,GLA,2008,3.2,Electric,Manual,25557,5,4,11188,Low,0
BMW,5 Series,2007,3.9,Hybrid,Automatic,211162,5,5,8376,Medium,109
Audi,A3,2014,4.0,Petrol,Automatic,182364,5,5,10152,High,200
Hyundai,Sonata,2010,1.6,Petrol,Automatic,112946,2,5,7941,High,152
Ford,Focus,2009,2.1,Petrol,Automatic,122067,4,4,7958,High,162
Toyota,RAV4,2008,3.5,Electric,Semi-Automatic,296747,3,1,6065,Low,0
BMW,5 Series,2018,2.8,Petrol,Semi-Automatic,23722,5,5,11825,High,176
Hyundai,Elantra,2000,1.8,Petrol,Manual,161487,3,5,2670,High,156
Ford,Focus,2009,4.1,Petrol,Automatic,99562,5,2,10408,High,202
Kia,Optima,2018,1.9,Electric,Manual,107386,5,4,11252,Low,0
Volkswagen,Golf,2021,4.0,Diesel,Automatic,32991,5,3,15240,High,170
Audi,A3,2017,1.7,Diesel,Manual,156940,4,2,7761,High,136
Toyota,Camry,2007,2.2,Diesel,Manual,87444,4,4,6651,High,143
BMW,5 Series,2009,1.4,Petrol,Manual,232049,3,2,3559,High,148
Ford,Focus,2009,1.2,Hybrid,Automatic,114668,2,4,8206,Medium,82
Toyota,Camry,2017,4.8,Electric,Semi-Automatic,297176,4,2,10056,Low,0
Hyundai,Sonata,2011,4.1,Hybrid,Semi-Automatic,138965,4,4,9720,Medium,111
Volkswagen,Tiguan,2006,4.4,Petrol,Automatic,251894,2,4,6762,High,208
Toyota,Corolla,2006,2.8,Diesel,Semi-Automatic,174551,4,5,5208,High,152
BMW,5 Series,2011,3.0,Petrol,Automatic,260151,5,1,6696,High,180
Chevrolet,Malibu,2006,2.8,Petrol,Manual,253372,2,4,3632,High,176
Mercedes,GLA,2010,1.9,Hybrid,Manual,99563,3,5,8008,Medium,89
Ford,Fiesta,2014,3.9,Electric,Automatic,267949,3,2,10341,Low,0
BMW,X5,2010,4.6,Diesel,Manual,79663,5,5,10106,High,179
Toyota,RAV4,2013,3.5,Electric,Automatic,85640,3,4,13287,Low,0
Mercedes,E-Class,2001,4.4,Hybrid,Automatic,1937,4,4,11261,Medium,114
Ford,Fiesta,2014,3.2,Petrol,Automatic,253316,3,5,7933,High,184
Mercedes,E-Class,2007,3.2,Diesel,Semi-Automatic,203452,2,4,5330,High,158
Hyundai,Elantra,2022,4.2,Electric,Manual,181600,3,3,13268,Low,0
BMW,X5,2002,2.9,Petrol,Manual,296864,4,2,2000,High,178
Kia,Sportage,2014,1.4,Hybrid,Semi-Automatic,262641,4,1,5447,Medium,84
Audi,Q5,2023,4.7,Electric,Automatic,222000,3,3,14760,Low,0
Ford,Focus,2006,4.6,Petrol,Automatic,98002,5,4,10039,High,212
Kia,Sportage,2000,3.4,Hybrid,Manual,131933,4,1,5861,Medium,104
BMW,X5,2001,4.6,Diesel,Manual,287045,4,4,3259,High,179
Chevrolet,Malibu,2008,2.5,Petrol,Semi-Automatic,215987,5,3,4680,High,170
Honda,CR-V,2009,2.8,Diesel,Manual,201403,3,5,5571,High,152
BMW,3 Series,2021,3.9,Petrol,Manual,263073,4,3,9038,High,198
Audi,A3,2021,4.4,Diesel,Semi-Automatic,91956,2,2,12960,High,176
Kia,Sportage,2021,1.3,Hybrid,Manual,197902,5,5,8741,Medium,83
Toyota,RAV4,2006,1.0,Diesel,Automatic,107474,4,5,6250,High,125
BMW,5 Series,2011,1.1,Diesel,Automatic,178039,3,1,6439,High,127
BMW,5 Series,2009,4.0,Electric,Automatic,84645,2,2,12607,Low,0
Kia,Optima,2020,4.1,Hybrid,Semi-Automatic,118504,2,4,12829,Medium,111
Honda,Accord,2009,2.7,Petrol,Manual,217224,4,5,5155,High,174
Toyota,Camry,2002,2.6,Petrol,Automatic,118041,3,4,6439,High,172
Audi,A4,2020,4.3,Diesel,Semi-Automatic,186962,3,5,10660,High,175
Mercedes,GLA,2023,1.3,Electric,Semi-Automatic,78961,5,2,12720,Low,0
Mercedes,GLA,2010,1.0,Hybrid,Manual,296156,5,1,3176,Medium,80
Toyota,RAV4,2019,2.0,Petrol,Automatic,232074,3,5,8658,High,160
Ford,Explorer,2001,2.3,Electric,Manual,38542,5,2,7929,Low,0
BMW,X5,2010,2.9,Diesel,Automatic,295058,5,1,5598,High,154
Toyota,Camry,2013,2.2,Hybrid,Manual,262285,4,4,5954,Medium,92
Ford,Explorer,2008,3.9,Electric,Semi-Automatic,225838,5,3,7883,Low,0
Chevrolet,Equinox,2023,3.0,Hybrid,Automatic,230795,5,4,11884,Medium,100
Chevrolet,Malibu,2008,2.5,Petrol,Manual,94729,5,3,7105,High,170
Mercedes,C-Class,2022,3.1,Petrol,Automatic,282199,2,2,9656,High,182
Audi,A3,2006,2.6,Diesel,Automatic,282423,5,5,4351,High,149
Mercedes,C-Class,2004,4.0,Diesel,Manual,191859,3,5,5462,High,170
Ford,Fiesta,2004,2.2,Hybrid,Automatic,256459,4,5,4870,Medium,92
Kia,Sportage,2021,2.1,Electric,Semi-Automatic,74107,5,4,13017,Low,0
Volkswagen,Golf,2019,3.9,Petrol,Manual,230974,5,3,9080,High,198
BMW,5 Series,2016,1.7,Petrol,Manual,56150,3,1,9477,High,154
Mercedes,C-Class,2010,4.7,Diesel,Semi-Automatic,256100,3,2,6678,High,181
Volkswagen,Golf,2006,2.7,Hybrid,Automatic,9512,2,1,10909,Medium,97
Audi,A3,2011,4.8,Petrol,Automatic,80241,2,3,12095,High,216
Audi,A4,2021,4.7,Diesel,Semi-Automatic,150713,2,4,12085,High,181
Audi,Q5,2018,1.7,Electric,Semi-Automatic,207019,2,3,9059,Low,0
Audi,A3,2023,3.2,Petrol,Semi-Automatic,163039,3,3,10939,High,184
Toyota,Corolla,2000,2.0,Diesel,Manual,145101,3,5,3197,High,140
Ford,Focus,2016,1.4,Petrol,Semi-Automatic,278559,5,4,4728,High,148
Hyundai,Elantra,2017,4.2,Diesel,Automatic,269154,3,2,9516,High,173
Kia,Sportage,2010,2.3,Petrol,Manual,62065,2,2,8158,High,166
Audi,Q5,2023,1.9,Diesel,Manual,52679,5,3,11846,High,139
Toyota,Camry,2014,1.0,Petrol,Manual,177766,3,2,5744,High,140
Honda,Civic,2007,1.6,Electric,Manual,158154,3,4,6636,Low,0
Chevrolet,Impala,2021,1.3,Electric,Automatic,52051,5,1,14158,Low,0
Toyota,Camry,2023,1.5,Diesel,Manual,117049,2,5,10159,High,133
Toyota,Camry,2000,1.8,Electric,Automatic,271405,4,4,3971,Low,0
Hyundai,Sonata,2010,2.6,Hybrid,Semi-Automatic,260006,3,3,5499,Medium,96
Toyota,RAV4,2012,1.7,Petrol,Manual,234785,3,1,4704,High,154
Kia,Optima,2009,1.6,Electric,Automatic,222076,5,4,7458,Low,0
Volkswagen,Passat,2002,1.8,Petrol,Manual,194835,3,3,2603,High,156
Ford,Focus,2013,2.0,Diesel,Automatic,145970,2,2,8580,High,140
Ford,Fiesta,2011,1.4,Hybrid,Automatic,30785,4,3,10684,Medium,84
Audi,Q5,2015,3.7,Diesel,Semi-Automatic,57196,3,1,11156,High,166
Kia,Sportage,2019,4.0,Diesel,Semi-Automatic,50680,3,4,12786,High,170
Toyota,RAV4,2001,4.7,Diesel,Semi-Automatic,230052,2,3,4498,High,181
Honda,Civic,2019,4.2,Petrol,Manual,273193,2,4,8536,High,204
Hyundai,Elantra,2003,4.4,Hybrid,Semi-Automatic,169451,2,2,7010,Medium,114
BMW,X5,2020,2.2,Electric,Automatic,286174,4,5,10076,Low,0
Chevrolet,Malibu,2004,4.9,Diesel,Manual,242712,5,4,5345,High,184
Hyundai,Elantra,2014,3.4,Electric,Manual,227371,4,5,9152,Low,0
Kia,Optima,2002,1.7,Diesel,Manual,79442,4,2,4811,High,136
Toyota,Corolla,2005,3.2,Petrol,Automatic,29885,2,2,9702,High,184
Volkswagen,Tiguan,2008,4.3,Diesel,Semi-Automatic,261478,4,5,5570,High,175
Kia,Optima,2010,1.2,Petrol,Automatic,170847,4,4,6383,High,144
BMW,X5,2001,4.1,Electric,Semi-Automatic,87221,5,4,8755,Low,0
Mercedes,C-Class,2014,2.9,Petrol,Manual,217980,4,4,6840,High,178
Volkswagen,Passat,2010,4.1,Electric,Automatic,71288,5,2,13274,Low,0
BMW,5 Series,2016,4.5,Diesel,Manual,91092,2,1,11578,High,178
Honda,Civic,2020,4.4,Petrol,Semi-Automatic,24913,3,3,14001,High,208
Kia,Sportage,2000,4.2,Hybrid,Semi-Automatic,155444,3,5,6191,Medium,112
Mercedes,E-Class,2014,2.5,Electric,Semi-Automatic,171683,3,2,9366,Low,0
Honda,CR-V,2015,4.8,Diesel,Automatic,295428,3,5,8991,High,182
Volkswagen,Golf,2010,3.9,Petrol,Automatic,207380,2,5,8352,High,198
Mercedes,C-Class,2012,1.5,Electric,Automatic,89226,5,5,10915,Low,0
BMW,3 Series,2001,4.6,Hybrid,Manual,79217,4,4,8415,Medium,116
Mercedes,E-Class,2010,3.3,Diesel,Automatic,297971,2,3,5940,High,160
Ford,Fiesta,2011,3.5,Diesel,Semi-Automatic,178950,2,3,7321,High,163
Audi,A3,2017,3.4,Electric,Automatic,148880,3,5,13122,Low,0
Honda,Accord,2013,1.7,Petrol,Semi-Automatic,23936,4,4,9221,High,154
Audi,Q5,2002,2.1,Electric,Manual,68076,4,1,7438,Low,0
Chevrolet,Malibu,2015,2.9,Diesel,Automatic,144743,2,3,10105,High,154
Kia,Rio,2014,4.4,Diesel,Semi-Automatic,90279,3,5,10894,High,176
Audi,A3,2018,2.5,Diesel,Semi-Automatic,56429,2,1,10871,High,148
Audi,A3,2014,2.9,Diesel,Automatic,1197,2,5,12676,High,154
Mercedes,C-Class,2021,1.9,Petrol,Automatic,200177,2,2,9796,High,158
Chevrolet,Malibu,2022,3.0,Diesel,Manual,5679,2,4,13586,High,155
BMW,3 Series,2011,3.3,Hybrid,Manual,14586,4,1,11408,Medium,103
Kia,Sportage,2001,3.6,Hybrid,Semi-Automatic,202216,3,3,4955,Medium,106
BMW,5 Series,2002,4.8,Petrol,Manual,249673,5,1,4506,High,216
Chevrolet,Impala,2011,1.7,Diesel,Manual,39156,3,1,8316,High,136
Volkswagen,Golf,2010,4.5,Electric,Semi-Automatic,68014,3,2,12239,Low,0
Ford,Focus,2008,2.4,Petrol,Manual,126868,5,3,6362,High,168
Mercedes,E-Class,2010,3.0,Electric,Manual,258632,4,5,6927,Low,0
Ford,Fiesta,2021,4.3,Hybrid,Semi-Automatic,201170,3,5,11676,Medium,113
Audi,A3,2019,2.9,Hybrid,Manual,13569,2,3,13428,Medium,99
